"REF_DATE","GEO","DGUID","Fuel type","Supply and demand characteristics","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2018","British Columbia","2016A000259","Natural gas","Production","Terajoules","283","units","0","v54274261","12.5.1","1864315","","","","0"
"1995","British Columbia","2016A000259","Gas plant natural gas liquids (NGL's)","Production","Terajoules","283","units","0","v54274296","12.6.1","17510","","","","0"
"1996","British Columbia","2016A000259","Gas plant natural gas liquids (NGL's)","Production","Terajoules","283","units","0","v54274296","12.6.1","18765","","","","0"
"1997","British Columbia","2016A000259","Gas plant natural gas liquids (NGL's)","Production","Terajoules","283","units","0","v54274296","12.6.1","20131","","","","0"
"1998","British Columbia","2016A000259","Gas plant natural gas liquids (NGL's)","Production","Terajoules","283","units","0","v54274296","12.6.1","21567","","","","0"
"1999","British Columbia","2016A000259","Gas plant natural gas liquids (NGL's)","Production","Terajoules","283","units","0","v54274296","12.6.1","13421","","","","0"
"2000","British Columbia","2016A000259","Gas plant natural gas liquids (NGL's)","Production","Terajoules","283","units","0","v54274296","12.6.1","20832","","","","0"
"2001","British Columbia","2016A000259","Gas plant natural gas liquids (NGL's)","Production","Terajoules","283","units","0","v54274296","12.6.1","38459","","","","0"
"2002","British Columbia","2016A000259","Gas plant natural gas liquids (NGL's)","Production","Terajoules","283","units","0","v54274296","12.6.1","38741","","","","0"
"2003","British Columbia","2016A000259","Gas plant natural gas liquids (NGL's)","Production","Terajoules","283","units","0","v54274296","12.6.1","37177","","","","0"
"2004","British Columbia","2016A000259","Gas plant natural gas liquids (NGL's)","Production","Terajoules","283","units","0","v54274296","12.6.1","35429","","","","0"
"2005","British Columbia","2016A000259","Gas plant natural gas liquids (NGL's)","Production","Terajoules","283","units","0","v54274296","12.6.1","37313","","","","0"
"2006","British Columbia","2016A000259","Gas plant natural gas liquids (NGL's)","Production","Terajoules","283","units","0","v54274296","12.6.1","38730","","","","0"
"2007","British Columbia","2016A000259","Gas plant natural gas liquids (NGL's)","Production","Terajoules","283","units","0","v54274296","12.6.1","38997","","","","0"
"2008","British Columbia","2016A000259","Gas plant natural gas liquids (NGL's)","Production","Terajoules","283","units","0","v54274296","12.6.1","37058","","","","0"
"2009","British Columbia","2016A000259","Gas plant natural gas liquids (NGL's)","Production","Terajoules","283","units","0","v54274296","12.6.1","37183","","","","0"
"2010","British Columbia","2016A000259","Gas plant natural gas liquids (NGL's)","Production","Terajoules","283","units","0","v54274296","12.6.1","39387","","","","0"
"2011","British Columbia","2016A000259","Gas plant natural gas liquids (NGL's)","Production","Terajoules","283","units","0","v54274296","12.6.1","44724","","","","0"
"2012","British Columbia","2016A000259","Gas plant natural gas liquids (NGL's)","Production","Terajoules","283","units","0","v54274296","12.6.1","46296","","","","0"
"2013","British Columbia","2016A000259","Gas plant natural gas liquids (NGL's)","Production","Terajoules","283","units","0","v54274296","12.6.1","50547","","","","0"
"2014","British Columbia","2016A000259","Gas plant natural gas liquids (NGL's)","Production","Terajoules","283","units","0","v54274296","12.6.1","58522","","","","0"
"2015","British Columbia","2016A000259","Gas plant natural gas liquids (NGL's)","Production","Terajoules","283","units","0","v54274296","12.6.1","","x","","","0"
"2016","British Columbia","2016A000259","Gas plant natural gas liquids (NGL's)","Production","Terajoules","283","units","0","v54274296","12.6.1","","x","","","0"
"2017","British Columbia","2016A000259","Gas plant natural gas liquids (NGL's)","Production","Terajoules","283","units","0","v54274296","12.6.1","","x","","","0"
"2018","British Columbia","2016A000259","Gas plant natural gas liquids (NGL's)","Production","Terajoules","283","units","0","v54274296","12.6.1","","x","","","0"
"1995","British Columbia","2016A000259","Primary electricity, hydro and nuclear","Production","Terajoules","283","units","0","v54274320","12.7.1","180873","","","","0"
"1996","British Columbia","2016A000259","Primary electricity, hydro and nuclear","Production","Terajoules","283","units","0","v54274320","12.7.1","243950","","","","0"
"1997","British Columbia","2016A000259","Primary electricity, hydro and nuclear","Production","Terajoules","283","units","0","v54274320","12.7.1","228285","","","","0"
"1998","British Columbia","2016A000259","Primary electricity, hydro and nuclear","Production","Terajoules","283","units","0","v54274320","12.7.1","219379","","","","0"
"1999","British Columbia","2016A000259","Primary electricity, hydro and nuclear","Production","Terajoules","283","units","0","v54274320","12.7.1","221687","","","","0"
"2000","British Columbia","2016A000259","Primary electricity, hydro and nuclear","Production","Terajoules","283","units","0","v54274320","12.7.1","216739","","","","0"
"2001","British Columbia","2016A000259","Primary electricity, hydro and nuclear","Production","Terajoules","283","units","0","v54274320","12.7.1","176974","","","","0"
"2002","British Columbia","2016A000259","Primary electricity, hydro and nuclear","Production","Terajoules","283","units","0","v54274320","12.7.1","211945","","","","0"
"2003","British Columbia","2016A000259","Primary electricity, hydro and nuclear","Production","Terajoules","283","units","0","v54274320","12.7.1","204926","","","","0"
"2004","British Columbia","2016A000259","Primary electricity, hydro and nuclear","Production","Terajoules","283","units","0","v54274320","12.7.1","196748","","","","0"
"2005","British Columbia","2016A000259","Primary electricity, hydro and nuclear","Production","Terajoules","283","units","0","v54274320","12.7.1","217177","","","","0"
"2006","British Columbia","2016A000259","Primary electricity, hydro and nuclear","Production","Terajoules","283","units","0","v54274320","12.7.1","195290","","","","0"
"2007","British Columbia","2016A000259","Primary electricity, hydro and nuclear","Production","Terajoules","283","units","0","v54274320","12.7.1","231433","","","","0"
"2008","British Columbia","2016A000259","Primary electricity, hydro and nuclear","Production","Terajoules","283","units","0","v54274320","12.7.1","211317","","","","0"
"2009","British Columbia","2016A000259","Primary electricity, hydro and nuclear","Production","Terajoules","283","units","0","v54274320","12.7.1","203264","","","","0"
"2010","British Columbia","2016A000259","Primary electricity, hydro and nuclear","Production","Terajoules","283","units","0","v54274320","12.7.1","195388","","","","0"
"2011","British Columbia","2016A000259","Primary electricity, hydro and nuclear","Production","Terajoules","283","units","0","v54274320","12.7.1","220407","","","","0"
"2012","British Columbia","2016A000259","Primary electricity, hydro and nuclear","Production","Terajoules","283","units","0","v54274320","12.7.1","235075","","","","0"
"2013","British Columbia","2016A000259","Primary electricity, hydro and nuclear","Production","Terajoules","283","units","0","v54274320","12.7.1","213860","","","","0"
"2014","British Columbia","2016A000259","Primary electricity, hydro and nuclear","Production","Terajoules","283","units","0","v54274320","12.7.1","210320","","","","0"
"2015","British Columbia","2016A000259","Primary electricity, hydro and nuclear","Production","Terajoules","283","units","0","v54274320","12.7.1","237216","","","","0"
"2016","British Columbia","2016A000259","Primary electricity, hydro and nuclear","Production","Terajoules","283","units","0","v54274320","12.7.1","239502","","","","0"
"2017","British Columbia","2016A000259","Primary electricity, hydro and nuclear","Production","Terajoules","283","units","0","v54274320","12.7.1","245284","","","","0"
"2018","British Columbia","2016A000259","Primary electricity, hydro and nuclear","Production","Terajoules","283","units","0","v54274320","12.7.1","228659","","","","0"
"1995","British Columbia","2016A000259","Total refined petroleum products","Production","Terajoules","283","units","0","v54273907","12.14.1","","x","","","0"
"1996","British Columbia","2016A000259","Total refined petroleum products","Production","Terajoules","283","units","0","v54273907","12.14.1","","x","","","0"
"1997","British Columbia","2016A000259","Total refined petroleum products","Production","Terajoules","283","units","0","v54273907","12.14.1","","x","","","0"
"1998","British Columbia","2016A000259","Total refined petroleum products","Production","Terajoules","283","units","0","v54273907","12.14.1","","x","","","0"
"1999","British Columbia","2016A000259","Total refined petroleum products","Production","Terajoules","283","units","0","v54273907","12.14.1","","x","","","0"
"2000","British Columbia","2016A000259","Total refined petroleum products","Production","Terajoules","283","units","0","v54273907","12.14.1","","x","","","0"
"2001","British Columbia","2016A000259","Total refined petroleum products","Production","Terajoules","283","units","0","v54273907","12.14.1","","x","","","0"
"2002","British Columbia","2016A000259","Total refined petroleum products","Production","Terajoules","283","units","0","v54273907","12.14.1","","x","","","0"
"2003","British Columbia","2016A000259","Total refined petroleum products","Production","Terajoules","283","units","0","v54273907","12.14.1","","x","","","0"
"2004","British Columbia","2016A000259","Total refined petroleum products","Production","Terajoules","283","units","0","v54273907","12.14.1","","x","","","0"
"2005","British Columbia","2016A000259","Total refined petroleum products","Production","Terajoules","283","units","0","v54273907","12.14.1","","x","","","0"
"2006","British Columbia","2016A000259","Total refined petroleum products","Production","Terajoules","283","units","0","v54273907","12.14.1","","x","","","0"
"2007","British Columbia","2016A000259","Total refined petroleum products","Production","Terajoules","283","units","0","v54273907","12.14.1","","x","","","0"
"2008","British Columbia","2016A000259","Total refined petroleum products","Production","Terajoules","283","units","0","v54273907","12.14.1","","x","","","0"
"2009","British Columbia","2016A000259","Total refined petroleum products","Production","Terajoules","283","units","0","v54273907","12.14.1","","x","","","0"
"2010","British Columbia","2016A000259","Total refined petroleum products","Production","Terajoules","283","units","0","v54273907","12.14.1","","x","","","0"
"2011","British Columbia","2016A000259","Total refined petroleum products","Production","Terajoules","283","units","0","v54273907","12.14.1","","x","","","0"
"2012","British Columbia","2016A000259","Total refined petroleum products","Production","Terajoules","283","units","0","v54273907","12.14.1","","x","","","0"
"2013","British Columbia","2016A000259","Total refined petroleum products","Production","Terajoules","283","units","0","v54273907","12.14.1","","x","","","0"
"2014","British Columbia","2016A000259","Total refined petroleum products","Production","Terajoules","283","units","0","v54273907","12.14.1","","x","","","0"
"2015","British Columbia","2016A000259","Total refined petroleum products","Production","Terajoules","283","units","0","v54273907","12.14.1","","x","","","0"
"2016","British Columbia","2016A000259","Total refined petroleum products","Production","Terajoules","283","units","0","v54273907","12.14.1","148056","","","","0"
"2017","British Columbia","2016A000259","Total refined petroleum products","Production","Terajoules","283","units","0","v54273907","12.14.1","","x","","","0"
"2018","British Columbia","2016A000259","Total refined petroleum products","Production","Terajoules","283","units","0","v54273907","12.14.1","","x","","","0"
"1995","British Columbia","2016A000259","Secondary electricity, thermal","Production","Terajoules","283","units","0","v54273904","12.13.1","32125","","","","0"
"1996","British Columbia","2016A000259","Secondary electricity, thermal","Production","Terajoules","283","units","0","v54273904","12.13.1","18128","","","","0"
"1997","British Columbia","2016A000259","Secondary electricity, thermal","Production","Terajoules","283","units","0","v54273904","12.13.1","20078","","","","0"
"1998","British Columbia","2016A000259","Secondary electricity, thermal","Production","Terajoules","283","units","0","v54273904","12.13.1","24953","","","","0"
"1999","British Columbia","2016A000259","Secondary electricity, thermal","Production","Terajoules","283","units","0","v54273904","12.13.1","23756","","","","0"
"2000","British Columbia","2016A000259","Secondary electricity, thermal","Production","Terajoules","283","units","0","v54273904","12.13.1","30512","","","","0"
"2001","British Columbia","2016A000259","Secondary electricity, thermal","Production","Terajoules","283","units","0","v54273904","12.13.1","34559","","","","0"
"2002","British Columbia","2016A000259","Secondary electricity, thermal","Production","Terajoules","283","units","0","v54273904","12.13.1","23241","","","","0"
"2003","British Columbia","2016A000259","Secondary electricity, thermal","Production","Terajoules","283","units","0","v54273904","12.13.1","23230","","","","0"
"2004","British Columbia","2016A000259","Secondary electricity, thermal","Production","Terajoules","283","units","0","v54273904","12.13.1","26375","","","","0"
"2005","British Columbia","2016A000259","Secondary electricity, thermal","Production","Terajoules","283","units","0","v54273904","12.13.1","26810","","","","0"
"2006","British Columbia","2016A000259","Secondary electricity, thermal","Production","Terajoules","283","units","0","v54273904","12.13.1","26461","","","","0"
"2007","British Columbia","2016A000259","Secondary electricity, thermal","Production","Terajoules","283","units","0","v54273904","12.13.1","27155","","","","0"
"2008","British Columbia","2016A000259","Secondary electricity, thermal","Production","Terajoules","283","units","0","v54273904","12.13.1","26543","","","","0"
"2009","British Columbia","2016A000259","Secondary electricity, thermal","Production","Terajoules","283","units","0","v54273904","12.13.1","30940","","","","0"
"2010","British Columbia","2016A000259","Secondary electricity, thermal","Production","Terajoules","283","units","0","v54273904","12.13.1","35817","","","","0"
"2011","British Columbia","2016A000259","Secondary electricity, thermal","Production","Terajoules","283","units","0","v54273904","12.13.1","28919","","","","0"
"2012","British Columbia","2016A000259","Secondary electricity, thermal","Production","Terajoules","283","units","0","v54273904","12.13.1","29829","","","","0"
"2013","British Columbia","2016A000259","Secondary electricity, thermal","Production","Terajoules","283","units","0","v54273904","12.13.1","30513","","","","0"
"2014","British Columbia","2016A000259","Secondary electricity, thermal","Production","Terajoules","283","units","0","v54273904","12.13.1","30908","","","","0"
"2015","British Columbia","2016A000259","Secondary electricity, thermal","Production","Terajoules","283","units","0","v54273904","12.13.1","20039","","","","0"
"2016","British Columbia","2016A000259","Secondary electricity, thermal","Production","Terajoules","283","units","0","v54273904","12.13.1","23387","","","","0"
"2017","British Columbia","2016A000259","Secondary electricity, thermal","Production","Terajoules","283","units","0","v54273904","12.13.1","22829","","","","0"
"2018","British Columbia","2016A000259","Secondary electricity, thermal","Production","Terajoules","283","units","0","v54273904","12.13.1","23068","","","","0"


