"REF_DATE","GEO","DGUID","Value","North American Industry Classification System (NAICS)","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2002","British Columbia","2016A000259","Current dollars","Other professional, scientific and technical services including scientific research and development [541B]","Dollars","81","millions","6","v62463540","10.1.242","1325.7","","","","1"
"2003","British Columbia","2016A000259","Current dollars","Other professional, scientific and technical services including scientific research and development [541B]","Dollars","81","millions","6","v62463540","10.1.242","1467.9","","","","1"
"2004","British Columbia","2016A000259","Current dollars","Other professional, scientific and technical services including scientific research and development [541B]","Dollars","81","millions","6","v62463540","10.1.242","1687.7","","","","1"
"2005","British Columbia","2016A000259","Current dollars","Other professional, scientific and technical services including scientific research and development [541B]","Dollars","81","millions","6","v62463540","10.1.242","1870.7","","","","1"
"2006","British Columbia","2016A000259","Current dollars","Other professional, scientific and technical services including scientific research and development [541B]","Dollars","81","millions","6","v62463540","10.1.242","2223.6","","","","1"
"2007","British Columbia","2016A000259","Current dollars","Other professional, scientific and technical services including scientific research and development [541B]","Dollars","81","millions","6","v62463540","10.1.242","2606.2","","","","1"
"2008","British Columbia","2016A000259","Current dollars","Other professional, scientific and technical services including scientific research and development [541B]","Dollars","81","millions","6","v62463540","10.1.242","2762.0","","","","1"
"2009","British Columbia","2016A000259","Current dollars","Other professional, scientific and technical services including scientific research and development [541B]","Dollars","81","millions","6","v62463540","10.1.242","2499.7","","","","1"
"2010","British Columbia","2016A000259","Current dollars","Other professional, scientific and technical services including scientific research and development [541B]","Dollars","81","millions","6","v62463540","10.1.242","2609.8","","","","1"
"2011","British Columbia","2016A000259","Current dollars","Other professional, scientific and technical services including scientific research and development [541B]","Dollars","81","millions","6","v62463540","10.1.242","2787.9","","","","1"
"2012","British Columbia","2016A000259","Current dollars","Other professional, scientific and technical services including scientific research and development [541B]","Dollars","81","millions","6","v62463540","10.1.242","3011.6","","","","1"
"2013","British Columbia","2016A000259","Current dollars","Other professional, scientific and technical services including scientific research and development [541B]","Dollars","81","millions","6","v62463540","10.1.242","3487.9","","","","1"
"2014","British Columbia","2016A000259","Current dollars","Other professional, scientific and technical services including scientific research and development [541B]","Dollars","81","millions","6","v62463540","10.1.242","3716.7","","","","1"
"2015","British Columbia","2016A000259","Current dollars","Other professional, scientific and technical services including scientific research and development [541B]","Dollars","81","millions","6","v62463540","10.1.242","3910.7","","","","1"
"2016","British Columbia","2016A000259","Current dollars","Other professional, scientific and technical services including scientific research and development [541B]","Dollars","81","millions","6","v62463540","10.1.242","4181.7","","","","1"
"2017","British Columbia","2016A000259","Current dollars","Other professional, scientific and technical services including scientific research and development [541B]","Dollars","81","millions","6","v62463540","10.1.242","4654.3","","","","1"
"2018","British Columbia","2016A000259","Current dollars","Other professional, scientific and technical services including scientific research and development [541B]","Dollars","81","millions","6","v62463540","10.1.242","","..","","","1"


