Country,Data source,Sector,Gas,Unit,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990
Argentina,CAIT,Manufacturing/Construction,All GHG,MtCO₂e,20.69,18.98,19.41,21.55,21.37,21.13,19.2,20.71,19.05,17.56,20.68,21.09,22.12,20.43,20.02,19.01,17.08,17.64,17.87,18.29,20.25,20.81,17.74,17.22,17.51,15.02,15.71,14.69,14.11
Belgium,CAIT,Manufacturing/Construction,All GHG,MtCO₂e,19.22,18.66,19.46,18.74,18.85,19.05,17.5,17.46,18.99,17.95,19.89,20.19,20.98,20.21,22.82,25.04,24.61,30.7,29.11,27.84,27.08,26.07,24.94,24.81,26.59,24.64,26.73,28.98,28.1
Bangladesh,CAIT,Manufacturing/Construction,All GHG,MtCO₂e,17.72,17.35,14.76,17.21,10.94,10.82,10.27,9.26,9.21,8.17,7.02,6.0,5.3,4.7,4.12,5.5,4.95,4.57,4.01,2.85,2.86,3.63,2.96,3.32,1.9,1.47,1.5,1.51,2.31
Venezuela,CAIT,Manufacturing/Construction,All GHG,MtCO₂e,17.37,17.82,16.91,18.46,29.51,32.72,36.19,34.19,36.34,21.12,19.78,14.58,29.44,32.17,32.57,29.8,29.09,25.68,24.65,25.33,31.69,32.21,30.81,28.13,25.9,25.79,22.75,25.07,23.51
Philippines,CAIT,Manufacturing/Construction,All GHG,MtCO₂e,15.39,17.79,16.76,14.11,13.89,13.15,11.48,12.35,12.53,11.16,12.55,13.08,10.72,10.43,10.14,9.96,8.74,9.44,11.49,12.05,12.41,13.95,11.96,12.67,9.56,10.14,8.42,8.17,10.4
Colombia,CAIT,Manufacturing/Construction,All GHG,MtCO₂e,15.21,14.79,14.07,13.34,15.63,16.08,13.32,16.67,13.46,12.98,15.4,13.48,13.08,14.26,13.52,14.06,15.46,15.42,15.6,14.27,15.21,16.47,15.68,15.0,15.25,14.3,12.92,12.55,12.05
Chile,CAIT,Manufacturing/Construction,All GHG,MtCO₂e,14.32,14.4,14.99,15.02,13.97,12.85,11.59,13.97,13.72,11.29,12.08,12.01,12.11,10.61,10.64,10.84,10.43,11.24,10.33,10.2,10.69,12.77,9.57,8.86,7.86,8.02,7.55,6.66,6.38
Singapore,CAIT,Manufacturing/Construction,All GHG,MtCO₂e,14.01,13.69,13.04,12.86,12.66,11.71,10.2,10.3,9.76,8.58,5.95,5.73,5.43,5.19,4.81,4.36,3.68,3.45,3.26,0.33,0.35,0.38,0.4,0.47,0.54,0.5,0.46,0.42,0.44
Oman,CAIT,Manufacturing/Construction,All GHG,MtCO₂e,13.72,14.08,14.24,12.61,12.0,10.44,10.24,9.46,8.29,8.32,8.87,12.25,10.84,4.67,4.54,5.04,5.05,3.93,3.3,2.88,1.16,1.58,2.77,3.17,2.43,3.23,4.66,5.78,2.16
Algeria,CAIT,Manufacturing/Construction,All GHG,MtCO₂e,12.73,12.02,10.88,10.8,10.23,10.01,10.05,10.8,10.69,9.57,9.23,9.72,8.7,8.21,8.09,7.02,6.62,6.25,6.16,6.05,5.66,5.29,5.88,6.26,5.97,6.23,6.31,6.23,5.68
Romania,CAIT,Manufacturing/Construction,All GHG,MtCO₂e,12.52,11.81,11.66,12.39,12.43,12.32,13.13,13.31,12.78,12.54,18.45,18.93,19.68,20.91,20.67,20.63,21.23,20.24,18.74,17.63,20.23,25.35,29.92,31.17,26.48,15.66,17.2,45.52,60.4
Czech Republic,CAIT,Manufacturing/Construction,All GHG,MtCO₂e,12.44,12.21,11.44,11.7,11.54,11.76,12.55,12.79,13.32,16.69,17.25,18.11,19.77,20.18,20.75,20.63,20.5,22.4,24.08,19.91,23.21,24.77,25.37,26.51,27.38,33.01,40.04,37.05,46.68
Uzbekistan,CAIT,Manufacturing/Construction,All GHG,MtCO₂e,11.39,12.38,11.32,10.59,11.73,13.32,14.29,17.51,17.3,15.23,17.06,16.34,16.87,16.23,16.98,17.04,17.85,17.06,16.94,16.34,15.73,7.82,10.53,13.58,0.23,0.26,0.3,0.39,0.41
Iraq,CAIT,Manufacturing/Construction,All GHG,MtCO₂e,11.01,9.4,8.79,8.43,11.09,14.07,15.36,9.95,7.55,7.09,6.72,8.05,6.74,7.0,7.46,7.04,9.82,10.85,10.46,10.09,9.76,9.8,10.31,10.16,10.35,9.6,8.68,6.89,7.8
Austria,CAIT,Manufacturing/Construction,All GHG,MtCO₂e,10.82,10.64,10.71,10.38,10.22,10.71,11.07,11.24,11.13,10.63,11.23,10.97,11.27,11.05,11.71,11.05,10.3,10.54,10.68,9.52,10.31,10.97,9.83,9.71,9.26,9.4,9.14,10.08,9.52
Kuwait,CAIT,Manufacturing/Construction,All GHG,MtCO₂e,10.62,12.5,11.68,11.09,9.73,12.28,11.86,11.94,10.5,9.8,9.19,8.98,10.6,11.52,7.99,8.42,6.67,7.12,7.62,5.46,6.47,4.27,4.67,6.01,6.18,7.17,5.26,0.99,4.06
Myanmar,CAIT,Manufacturing/Construction,All GHG,MtCO₂e,8.52,8.23,3.91,5.37,4.91,3.97,3.64,2.42,2.32,2.04,1.93,1.82,1.88,1.95,1.82,2.52,1.41,2.33,2.36,1.36,1.11,1.21,0.98,0.95,0.9,0.76,1.13,0.96,0.97
Cuba,CAIT,Manufacturing/Construction,All GHG,MtCO₂e,8.47,8.72,11.57,7.52,5.16,7.34,8.05,8.21,8.93,7.99,7.1,8.14,7.72,6.31,4.96,5.65,7.84,11.72,10.97,11.2,9.88,9.34,7.31,6.62,5.98,5.7,6.05,7.36,10.77
North Korea,CAIT,Manufacturing/Construction,All GHG,MtCO₂e,8.43,11.47,16.46,13.39,17.29,14.9,22.2,21.06,30.58,32.91,44.4,39.81,48.69,47.53,45.1,44.09,43.04,44.86,42.92,40.58,37.16,40.07,41.04,48.35,52.9,59.53,64.66,75.18,78.97
Slovakia,CAIT,Manufacturing/Construction,All GHG,MtCO₂e,8.41,7.75,7.3,7.1,7.22,7.02,6.87,6.71,6.77,6.4,7.98,8.23,8.36,8.38,8.27,8.78,9.11,8.53,9.82,9.18,9.71,10.78,11.17,10.44,11.64,11.16,13.43,14.3,15.82
Peru,CAIT,Manufacturing/Construction,All GHG,MtCO₂e,8.12,7.75,7.77,8.9,8.6,8.69,7.66,8.11,7.57,8.56,8.7,9.07,7.52,8.07,7.9,6.87,7.24,6.76,7.5,7.27,6.11,5.81,5.91,5.35,4.27,4.6,4.17,4.59,4.08
Morocco,CAIT,Manufacturing/Construction,All GHG,MtCO₂e,8.08,8.13,7.12,7.63,7.7,8.76,8.85,8.62,7.64,7.21,7.25,7.04,7.02,6.51,5.48,4.14,5.35,5.6,5.53,5.78,5.39,5.37,5.5,4.64,5.55,4.98,5.83,5.63,5.38
Finland,CAIT,Manufacturing/Construction,All GHG,MtCO₂e,7.58,7.29,7.38,7.29,7.45,7.48,7.64,8.4,9.05,7.49,8.99,9.42,9.78,9.77,10.27,10.2,10.52,10.89,10.96,12.79,13.39,11.93,11.64,11.76,13.45,12.22,12.69,13.11,13.61
Nigeria,CAIT,Manufacturing/Construction,All GHG,MtCO₂e,7.46,6.82,6.55,7.28,7.28,6.48,6.09,7.07,2.37,2.23,5.21,5.07,4.74,5.12,5.99,7.55,2.75,2.6,2.96,3.06,2.94,2.96,3.52,3.15,3.46,4.04,4.39,3.73,3.83
Sweden,CAIT,Manufacturing/Construction,All GHG,MtCO₂e,6.91,6.9,6.84,7.18,6.97,7.42,7.9,8.61,8.94,6.89,9.37,9.85,9.82,10.77,12.28,12.22,12.58,12.2,13.63,14.28,14.15,14.1,15.26,14.8,14.65,14.36,13.28,11.35,11.88
Hungary,CAIT,Manufacturing/Construction,All GHG,MtCO₂e,6.81,6.49,5.86,5.8,5.39,5.64,4.97,5.72,4.36,4.09,5.56,5.67,5.77,5.93,5.81,5.9,6.06,6.0,5.76,6.21,6.43,6.88,8.54,8.3,8.39,8.87,9.47,11.76,14.06
New Zealand,CAIT,Manufacturing/Construction,All GHG,MtCO₂e,6.28,6.47,6.58,6.45,6.7,6.03,5.18,4.99,5.36,5.08,5.52,5.47,5.08,5.02,5.83,6.26,6.7,6.43,6.02,5.51,5.6,5.84,6.06,5.98,6.27,6.29,6.04,6.05,5.92
Norway,CAIT,Manufacturing/Construction,All GHG,MtCO₂e,6.17,6.32,6.02,6.12,5.99,6.16,6.27,6.27,6.17,5.09,6.11,6.0,6.1,6.13,6.87,6.62,5.38,6.22,6.57,6.12,5.98,5.76,6.12,5.64,5.58,4.66,4.55,4.97,6.24
Portugal,CAIT,Manufacturing/Construction,All GHG,MtCO₂e,5.54,5.67,5.34,5.54,5.58,5.39,5.59,6.33,6.6,6.47,7.07,7.93,7.48,7.74,8.04,8.66,10.15,10.18,10.87,10.64,10.45,9.28,8.73,8.2,8.55,7.8,8.15,8.32,8.07
Greece,CAIT,Manufacturing/Construction,All GHG,MtCO₂e,5.08,5.27,6.48,6.3,5.99,5.63,5.83,5.77,6.67,6.45,8.53,10.21,9.03,8.7,8.79,9.54,9.89,10.33,10.2,9.3,10.39,10.43,10.31,9.63,8.89,8.97,9.17,9.53,9.64
Libya,CAIT,Manufacturing/Construction,All GHG,MtCO₂e,5.03,4.63,3.94,3.87,5.2,2.81,1.34,1.28,3.55,3.81,3.72,2.83,2.98,3.42,3.65,3.16,3.18,3.29,3.2,3.06,3.01,3.11,2.71,2.74,2.37,2.03,2.4,2.2,2.08
Tunisia,CAIT,Manufacturing/Construction,All GHG,MtCO₂e,4.96,5.18,5.2,5.36,5.35,4.79,4.66,4.24,4.62,4.42,5.03,5.02,5.01,4.57,4.63,4.4,3.66,3.72,3.62,3.31,3.31,3.16,3.14,2.93,2.91,3.09,3.42,3.08,3.39
Switzerland,CAIT,Manufacturing/Construction,All GHG,MtCO₂e,4.92,5.04,5.14,5.05,5.26,5.41,5.34,5.34,5.69,5.48,6.01,5.98,6.1,5.72,5.76,5.76,5.47,6.07,5.75,6.37,5.96,5.93,6.32,6.49,6.18,6.48,6.64,6.97,6.54
Bulgaria,CAIT,Manufacturing/Construction,All GHG,MtCO₂e,4.79,4.39,3.73,3.67,3.35,3.29,3.28,3.62,3.72,3.51,6.13,8.43,7.98,7.86,8.02,8.09,7.49,7.87,7.98,7.85,11.37,14.11,8.73,9.05,7.91,6.4,7.38,8.89,12.09
Belarus,CAIT,Manufacturing/Construction,All GHG,MtCO₂e,4.74,4.64,4.5,4.46,5.33,5.21,5.12,4.76,4.67,4.24,4.54,4.27,3.99,4.03,3.91,3.61,3.23,3.26,3.21,4.26,4.44,3.87,3.85,3.41,4.17,5.52,5.47,8.15,8.37
Ethiopia,CAIT,Manufacturing/Construction,All GHG,MtCO₂e,4.55,4.26,4.28,3.46,3.8,2.88,2.3,2.46,1.73,1.36,1.38,1.34,1.23,1.15,1.11,0.95,1.0,0.96,0.79,0.71,0.72,0.66,0.61,0.57,0.51,0.39,0.26,0.56,0.55
Israel,CAIT,Manufacturing/Construction,All GHG,MtCO₂e,4.2,4.78,3.91,4.35,5.13,4.93,1.31,0.85,3.02,2.02,1.69,0.98,0.89,0.82,0.88,1.03,1.29,1.31,1.47,1.54,1.68,1.91,2.81,2.93,2.66,2.36,1.63,3.15,3.18
Ireland,CAIT,Manufacturing/Construction,All GHG,MtCO₂e,4.15,3.97,3.93,3.85,3.58,3.53,3.62,3.63,3.54,3.67,4.93,4.88,5.59,5.5,5.36,5.2,4.96,5.23,5.29,4.55,4.34,4.37,4.01,4.22,4.16,3.96,3.8,4.09,3.99
